,game id,review text,positive
0,1085660,nah dog this shit has been ass for 4 years,1
1,1085660,"this game will absolutely consume your life and sanity but other than that it is fun
",1
2,1085660,my ting 4ft long and rusty,1
3,1085660,fucking great,1
4,1085660,"Destiny is a beautiful game with lots of things for you to invest your time in. While its true that the game has had its ups and downs over the past few years, I cant agree that the game is dead. There are still plenty of exciting things coming and available in the game. Especially the large amount of lore currently playing out in the game. If you are a free to play player the amount of content is a little lacking but there is still some pretty good activities for you to do, if you get past the first few new light mission. (They are a little long and boring but help you figure out how the game works.)

As I said there have been some ups and downs and there are still some things that need to be fixed in the game, such as:

Anti-Cheat: There is currently no anti-cheat in the game. There has been talk about an anti cheat coming in the near future but the game hasnt had one for the past 4 years. So expect to face one or multiple hackers in end game content, mostly Competitive PVP.

Sandbox: Destiny 2 has a PVP and PVE aspect to them and because of that, 2 different sandboxes. They have to make sure that not one weapon is decent in fair in one sandbox and be completely broken in the other sandbox. Due to that the sandbox isn't entirely even or fair. They usually fix in a few weeks but that still is something to watch out for when playing.

Dry content: Currently Destiny 2 has seasons which indicate where we are storywise and fills content between DLC's. It was the right decision to do so but the seasons are fairly long and can get a little bit dry at the end of every season. You would be done with everything storywise in a season within a few weeks and besides grinding certain activities and maybe a live event during the end of the season, there isn't really much to do if you arent a heavy grinder. Which makes some players take a break from the game or even quit.

I am not here to say that bungie is doing everything wrong. They do plenty of good things as well which I will go over now:

Weapon Mod and Armor Mod system: The way the armor and weapons work in D2 currently is one of the most amazing things I have seen in a videogame. Its not too complex but can change the way you play the game, drastically sometimes.

Class System: The design for the classes is really good and give you a wide range of choices especially with the stasis.

Story and Lore: The game has a lot of deep lore and stories for you to find, read and be amazed about future stories. 

Now i know it sounds like the game is worse than better in this review, but it is not. I love this game and most faults can generally be ignored if you play the game long enough. If you invest time in this game it will definitely be worth it.",1
5,1085660,pogger,1
6,1085660,sdfsdfsd,1
7,1085660,This used to be the best MMORPG shooter ever. It is still is a fun shooter but the devs just ruined it over the last couple of years with the season pass model (it sounded good but wasn't (except Season of Opulence)). Still worth playing though.,1
8,1085660,"If i had know i'd be addicted to this since beta i probably wouldn't have played it, but i couldn't pick a better game to suck the life from my soul",1
9,1085660,Its a fun first person shooter with an awesome story about humanity!,1
10,1085660,Only for the PVE...PVP is a garbage fire full of aimbots and the likes for every 10 games you get a decent one.,1
11,1085660,bulbulitos,1
12,1085660,The new seasons and removal of various things like sunsetting have improved the game and it is enjoyable once more.,1
13,1085660,its aight,1
14,1085660,It's OK,1
15,1085660,"Honestly you are just bound to play because you already played so much you figure ""hey im already so progressed i might aswell keep grinding"" and then one day you will just realize.... that never once have you had fun on this game and the entire time you where just playing it because you were addicted to it.",0
16,1085660,its alright,1
17,1085660,"Ignore the 1000+ hours played on this game, I clearly hate myself. But I hate this game even more.",0
18,1085660,Game is absolutely terrible. You will enjoy playing but the amount of grind for certain weapons or playing PvP at all is soul sucking. I love this game but I hate it. I wish I never found this game.,0
19,1085660,trials go brrrr,1
20,1085660,this game was the dark souls of masochism,1
21,1085660,I love it,1
22,1085660,Uhh...,1
23,1085660,Cringe. Vault gambit. New pvp map plz.,1
24,1085660,"I literally only play Destiny 2 to use Sweet Business in pvp. The rest of the game sucks lmao (laughing my anus out)

Edit: Thanks for the award kind stranjer <3",1
25,1085660,This game came a long way from release to now. All the updates have helped it so much over the years with lots of content added and more being added every season.,1
